"","id","atlas_id","name","acronym","st_level","ontology_id","hemisphere_id","weight","parent_structure_id","depth","graph_id","graph_order","structure_id_path","color_hex_triplet","neuro_name_structure_id","neuro_name_structure_id_path","failed","sphinx_id","structure_name_facet","failed_facet","safe_name","col"
"12160",12160,NA,"subcallosal gyrus (parolfactory gyrus)","SCG",NA,11,3,8660,12155,7,16,2415,"/10153/10154/10155/10156/10609/12112/12155/12160/","E26880",NA,NA,"f",9015,3694310326,734881840,"subcallosal gyrus (parolfactory gyrus)","#E26880"
"12535",12535,NA,"pyramidal part of medulla oblongata","MoPy",NA,11,3,8660,10662,6,16,2881,"/10153/10154/10155/10653/10654/10662/12535/","979ECB",NA,NA,"f",9481,1124397412,734881840,"pyramidal part of medulla oblongata","#979ECB"
"10658",10658,NA,"cerebellar vermis","CBV",NA,11,3,8660,10657,8,16,2677,"/10153/10154/10155/10653/10654/10655/10656/10657/10658/","76A2D5",NA,NA,"f",9277,1494507432,734881840,"cerebellar vermis","#76A2D5"
"10451",10451,NA,"epithalamus","ETH",NA,11,3,8660,10390,7,16,2022,"/10153/10154/10155/10156/10157/10389/10390/10451/","CC9FC9",NA,NA,"f",8622,460687242,734881840,"epithalamus","#CC9FC9"
"10452",10452,NA,"habenular nuclei","HN",NA,11,3,8660,10451,8,16,2023,"/10153/10154/10155/10156/10157/10389/10390/10451/10452/","B67BB4",NA,NA,"f",8623,2334676914,734881840,"habenular nuclei","#B67BB4"
"10307",10307,NA,"olfactory bulb","OB",NA,11,3,8660,10306,9,16,1732,"/10153/10154/10155/10156/10157/10158/10159/10292/10306/10307/","D1CEE2",NA,NA,"f",8332,1746943475,734881840,"olfactory bulb","#D1CEE2"
"13045",13045,NA,"midline nuclear complex","MiN",NA,11,3,8660,10391,8,16,2017,"/10153/10154/10155/10156/10157/10389/10390/10391/13045/","A554A0",NA,NA,"f",8617,2105610563,734881840,"midline nuclear complex","#A554A0"
"10403",10403,NA,"reuniens nucleus (medioventral nucleus) of thalamus","Re",NA,11,3,8660,10397,9,16,1941,"/10153/10154/10155/10156/10157/10389/10390/10391/10397/10403/","95498A",NA,NA,"f",8541,3895315782,734881840,"reuniens nucleus (medioventral nucleus) of thalamus","#95498A"
"10602",10602,NA,"third ventricle","3V",NA,11,3,8660,10595,5,16,2264,"/10153/10154/10155/10156/10595/10602/","231F20",NA,NA,"f",8864,562407244,734881840,"third ventricle","#231F20"
"10350",10350,NA,"septal nuclei","SEP",NA,11,3,8660,10349,8,16,1899,"/10153/10154/10155/10156/10157/10158/10331/10349/10350/","CACA92",NA,NA,"f",8499,4255911532,734881840,"septal nuclei","#CACA92"
"10651",10651,NA,"ventricle of midbrain","MV",NA,11,3,8660,10648,4,16,2659,"/10153/10154/10155/10648/10651/","231F20",NA,NA,"f",9259,572137294,734881840,"ventricle of midbrain","#231F20"
"12369",12369,NA,"cerebral aqueduct","Aq",NA,11,3,8660,10651,5,16,2660,"/10153/10154/10155/10648/10651/12369/","231F20",NA,NA,"f",9260,3509002335,734881840,"cerebral aqueduct","#231F20"
"10460",10460,NA,"pineal body","Pin",NA,11,3,8660,10451,8,16,2031,"/10153/10154/10155/10156/10157/10389/10390/10451/10460/","773671",NA,NA,"f",8631,3710339990,734881840,"pineal body","#773671"
"12826",12826,NA,"central canal of medulla oblongata","cec",NA,11,3,8660,10669,5,16,3210,"/10153/10154/10155/10653/10669/12826/","231F20",NA,NA,"f",9810,1159954403,734881840,"central canal of medulla oblongata","#231F20"
